Cell_architecture,Substrate_stack_sequence,ETL_stack_sequence,ETL_additives_compounds,ETL_deposition_procedure,Perovskite_composition_perovskite_ABC3_structure,Perovskite_composition_none_stoichiometry_components_in_excess,Perovskite_additives_compounds,Perovskite_deposition_procedure,DMF_DMSO,Perovskite_deposition_quenching_media,Perovskite_deposition_quenching_media_additives_compounds,Perovskite_deposition_solvent_annealing,HTL_stack_sequence,HTL_additives_compounds,HTL_deposition_procedure,Backcontact_stack_sequence,Backcontact_thickness_list,Backcontact_deposition_procedure,JV_default_Voc,JV_default_Jsc,JV_default_FF,JV_default_PCE,Perovskite_deposition_solvents_IPA,Perovskite_deposition_thermal_annealing
nip,SLG | FTO,TiO2-c | TiO2-nw,Undoped,CBD | Hydrothermal,1,none,Cl,Spin-coating,1.0,Undoped,Undoped,0,Spiro-MeOTAD,Li-TFSI; TPB,Spin-coating,Au,80.0,Evaporation,0.8,20.4,0.63,10.3,0,110-60.0
nip,SLG | FTO,TiO2-c | TiO2-nw, Er,CBD | Hydrothermal,1,none,Cl,Spin-coating,1.0,Undoped,Undoped,0,Spiro-MeOTAD,Li-TFSI; TPB,Spin-coating,Au,80.0,Evaporation,0.83,21.3,0.64,11.5,0,110-60.0
nip,SLG | FTO,TiO2-c | TiO2-nw, Er; Yb,CBD | Hydrothermal,1,none,Cl,Spin-coating,1.0,Undoped,Undoped,0,Spiro-MeOTAD,Li-TFSI; TPB,Spin-coating,Au,80.0,Evaporation,0.87,21.7,0.66,12.9,0,110-60.0
nip,SLG | FTO,TiO2-c,Undoped,Spin-coating,1,none,Cl,Spin-coating,1.0,Undoped,Undoped,0,Spiro-MeOTAD,Li-TFSI; TPB,Spin-coating,Au,60.0,Evaporation,0.913,15.77,0.7,10.0,0,100.0-5.0
nip,SLG | FTO,TiO2-c | TiO2-mp, TiCl4,Spin-coating | Spin-coating,1,MA,Undoped,Spin-coating,1.0,Undoped,Undoped,0,Spiro-MeOTAD,Li-TFSI; TPB,Spin-coating,Au,80.0,Evaporation,1.08,21.7,0.725,17.0,0,100.0-5.0
pin,SLG | ITO,PCBM-60 | Bphen,Undoped,Spin-coating | Evaporation,1,none,Undoped,Spin-coating,1.0,Undoped,Undoped,0,PTAA,Undoped,Spin-coating,Ag,100.0,Evaporation,0.87,19.63,0.708,12.11,0,100.0-60.0
pin,SLG | ITO,PCBM-60 | Bphen,Undoped,Spin-coating | Evaporation,1,none,Undoped,Spin-coating,1.0,Undoped,Undoped,0,PTAA,PolyTPD,Spin-coating,Ag,100.0,Evaporation,0.87,20.81,0.74,13.42,0,100.0-60.0
nip,SLG | FTO,TiO2-c | TiO2-mp,Undoped,Spin-coating | Spin-coating,1,none,BMII,Spin-coating >> CBD,1.0,Undoped,Undoped,0,Spiro-MeOTAD,Li-TFSI; TPB,Spin-coating,Au,80.0,Evaporation,1.04,21.58,0.7,15.6,1,100.0-30.0
nip,SLG | FTO,TiO2-c | TiO2-mp,Undoped,Spin-coating | Spin-coating,1,none,Undoped,Spin-coating >> CBD,1.0,Undoped,Undoped,0,Spiro-MeOTAD,Li-TFSI; TPB,Spin-coating,Au,80.0,Evaporation,0.96,19.4,0.68,12.58,1,100.0-30.0
nip,SLG | FTO,TiO2-c,Undoped,Spin-coating,1,none,Cl,Spin-coating,1.0,Undoped,Undoped,0,Spiro-MeOTAD,Li-TFSI; TPB,Spin-coating,Au,90.0,Evaporation,1.0,20.0,0.65,13.0,0,60; 105-45.0; 70.0
