Cell_architecture,Substrate_stack_sequence,ETL_stack_sequence,ETL_additives_compounds,ETL_deposition_procedure,Perovskite_composition_none_stoichiometry_components_in_excess,Perovskite_additives_compounds,Perovskite_deposition_procedure,DMF_DMSO,Perovskite_deposition_quenching_media,HTL_stack_sequence,HTL_additives_compounds,Backcontact_stack_sequence,Backcontact_thickness_list,Perovskite_deposition_solvents_IPA,Perovskite_deposition_thermal_annealing,prob
nip,SLG | FTO,SnO2-np,Zr,Spin-coating,PbI2; PbBr2,Carbon-nt,Spin-coating,0.7440915232937736,Chlorobenzene,PTAA,Li-TFSI; Polystyrene; TBP,AgAl,91.23539912980902,0,60; 100-1.0; 2.0,0.9809386678028159
nip,SLG | FTO,SnO2-c,Undoped,CBD,PbI2; PbBr2,Graphene oxide,Spin-coating,0.7783539340242445,Chlorobenzene,PTAA,LAD,AgAl,101.74133289415259,0,60; 80-1.0; 2.0,0.9800893061469436
nip,SLG | FTO,SnO2-c,Undoped,Evaporation,PbAc2,CsPbBr3-np,Spin-coating,0.8401211054803549,Chlorobenzene,PTAA,O2,AgAl,92.51766571121361,0,65.0-270.0,0.979623254543549
nip,SLG | FTO,SnO2-c,MoCl5,Spin-coating,PbAc2,PEAI,Spin-coating,0.9581898293100332,Toluene,PTAA,TPFB,AgAl,70.92077327373792,0,65.0; 100.0-1.0; 2.0,0.9788598677574808
nip,SLG | FTO,SnO2-c,MoCl5,Spin-coating,PbI2,DMI,Spin-coating,0.9809987492312505,Diethyl ether,PTAA,O2,AgAl,88.41884354844333,0,60; 100-30.0; 90.0,0.9787213062193263
nip,SLG | FTO,SnO2-c,SnCl2; MercaptoPropionic acid; Urea,Spin-coating,Pb,PEG-[60]fullerenes,Spin-coating,0.9808980771486155,Chlorobenzene,PTAA,Li-TFSI; Polystyrene; TBP,AgAl,95.45540265275898,0,100.0-6.0,0.978480442395442
nip,SLG | FTO,SnO2-np,Undoped,Spin-coating,PbAc2,CH3NH2,Spin-coating,0.9732157552190369,Ethyl ether,PTAA,TPFB,AgAl,68.5408362439775,0,65; 100-1.0; 5.0,0.9784765132856145
nip,SLG | FTO,TiO2-c | PCBM-60,Undoped,Spin-coating | Spin-coating,PbCl2,Rb,Spin-coating,0.8202464342117798,Chlorobenzene,PTAA,Li-TFSI; TBP,AgAl,73.64042100915638,0,60; 100-1.0; 7.0,0.9767901784212013
nip,SLG | FTO,SnO2-c,SnCl2; MercaptoPropionic acid; Urea,Spin-coating,PbAc2,Ni,Spin-coating,0.9476731128923237,Chlorobenzene,PTAA,Li-TFSI; Polystyrene; TBP,AgAl,102.23890432141302,0,65-2.0,0.9764075637287144
nip,SLG | FTO,SnO2-c,MoCl5,Spin-coating,none,Graphene oxide,Spin-coating,0.7898020726258749,Diethyl ether,PTAA,Li-TFSI,AgAl,81.62674022815116,0,60; 100-45.0; 50.0,0.9758436658860665
nip,SLG | FTO,TiO2-c | PCBM-60,Undoped,Spin-coating | Evaporation,PbI2,Ni,Spin-coating,0.7622846408487979,Chlorobenzene,PTAA,LAD,AgAl,91.02783822176312,0,60; 100-5.0; 10.0,0.9757287191418623
nip,SLG | FTO,SnO2-np,Guanidinium chloride,Spin-coating,none,HATNA,Spin-coating,0.8416213814189869,Diethyl ether,PTAA,Li-TFSI,AgAl,74.4331458044992,0,60; 100-4.0; 10.0,0.9752709754212705
