Cell_architecture,Substrate_stack_sequence,ETL_stack_sequence,ETL_additives_compounds,ETL_deposition_procedure,Perovskite_composition_none_stoichiometry_components_in_excess,Perovskite_additives_compounds,Perovskite_deposition_procedure,DMF_DMSO,Perovskite_deposition_quenching_media,HTL_stack_sequence,HTL_additives_compounds,Backcontact_stack_sequence,Backcontact_thickness_list,Perovskite_deposition_solvents_IPA,Perovskite_deposition_thermal_annealing,prob
pin,SLG | FTO,PCBM-60 | Bphen,Undoped,Spin-coating | Evaporation,PbI2; PbBr2,PbAc2,Spin-coating,0.8966175284367651,Diethyl ether,PTAA,TAPC,AgAl,112.64346237578829,0,100.0-6.0,0.9747861217801714
pin,SLG | FTO,PCBM-60 | Bphen,Undoped,Spin-coating | Evaporation,PbI2; PbBr2,PU,Spin-coating,0.899925658129294,Diethyl ether,PTAA,PolyTPD,AgAl,83.60104202562934,0,100.0-50.0,0.9733498867887008
pin,SLG | FTO,PCBM-60 | Bphen,Undoped,Spin-coating | Spin-coating,PbCl2,PC,Spin-coating,0.8016329879227432,Diethyl ether,PTAA,PolyTPD,AgAl,71.90560223265354,0,65.0-10.0,0.9705353788786126
pin,SLG | FTO,PCBM-60 | Bphen,Undoped,Spin-coating | Evaporation,PbI2,PAA,Spin-coating,0.8368705173926358,Diethyl ether,PTAA,PolyTPD,AgAl,81.00367946514372,0,60; 85-2.0; 25.0,0.9702297395046999
pin,SLG | FTO,PCBM-60 | Bphen,Undoped,Spin-coating | Evaporation,PbI2; PbBr2,PAA,Spin-coating,0.9012642751707128,Diethyl ether,PTAA,NPB,AgAl,126.52825214531033,0,100.0-55.0,0.9690133623752549
pin,SLG | FTO,PCBM-60 | Bphen,Undoped,Spin-coating | Evaporation,PbI2; PbBr2,PU,Spin-coating,0.8752088217498748,Diethyl ether,PTAA,F8BT,AgAl,104.7301382289374,0,100.0-240.0,0.9678823431283063
pin,SLG | FTO,PCBM-60 | Bphen,Undoped,Spin-coating | Spin-coating,PbI2,PVP,Spin-coating,0.7463768305331157,Diethyl ether,PTAA,TAPC,AgAl,107.13351081855643,0,60; 100-1.0; 10.0,0.9670946995782157
pin,SLG | FTO,PCBM-60 | Bphen,Undoped,Spin-coating | Evaporation,PbAc2,EtOH; MA,Spin-coating,0.7417868374752534,Diethyl ether,PTAA,PolyTPD,AgAl,111.24311007739132,0,60.0-20.0,0.9655472550913169
pin,SLG | FTO,PCBM-60 | Bphen,Undoped,Spin-coating | Evaporation,PbCl2,NMA,Spin-coating,0.7891900505738932,Diethyl ether,PTAA,PolyTPD,Ag,82.61567576264345,0,100.0-15.0,0.9653639641369419
pin,SLG | FTO,PCBM-60 | Bphen,Undoped,Spin-coating | Evaporation,PbCl2,KI,Spin-coating,0.7325976825186091,Diethyl ether,PTAA,PolyTPD,AgAl,82.63534158230225,0,60.0-120.0,0.9647228227683815
pin,SLG | FTO,PCBM-60 | Bphen,Undoped,Spin-coating | Evaporation,PbI2; PbBr2,PC,Spin-coating,0.8905943268973586,Diethyl ether,PTAA,TAPC,AgAl,242.60690064209226,0,60; 100-45.0; 50.0,0.9627128165011042
pin,SLG | FTO,PCBM-60 | Bphen,Undoped,Spin-coating | Evaporation,PbCl2,Hexamethylphosphoramide,Spin-coating,0.7518491403802072,Chlorobenzene,PTAA,NPB,AgAl,67.35842016265444,0,60; 100-10.0; 15.0,0.9620561688007097
pin,SLG | FTO,PCBM-60 | Bphen,Undoped,Spin-coating | Evaporation,PbI2; PbBr2,Hexamethylphosphoramide,Spin-coating,0.8474162938270667,Chlorobenzene,PTAA,TAPC,AgAl,70.16078325844798,0,65.0; 100.0-1.0; 2.0,0.9613066051512362
pin,SLG | FTO,PCBM-60 | LiF,PNDI-2T ,Spin-coating | Evaporation,Pb,Rb,Spin-coating,0.9189407612344453,Diethyl ether,PTAA,TAPC,Al,129.7451537098799,0,100; 125-60.0; 15.0,0.9608897297817961
pin,SLG | FTO,PCBM-60 | Bphen,Undoped,Spin-coating | Evaporation,PbCl2,SP-3D-COF 2,Spin-coating,0.7841304446161023,Chlorobenzene,PTAA,NPB,AgAl,113.30932045010145,0,100.0-15.0,0.9601233824400885
pin,SLG | FTO,PCBM-60 | Bphen,Undoped,Spin-coating | Evaporation,PbCl2,EtOH; MA,Spin-coating,0.7615162552131568,Chlorobenzene,PTAA,NPB,AgAl,113.26577873478138,0,100.0-9.0,0.9595764909978213
pin,SLG | FTO,PCBM-60 | Bphen,Undoped,Spin-coating | Evaporation,PbI2; PbBr2,PU,Spin-coating,0.8796857534600695,Diethyl ether,PTAA,F4-TCNQ,AgAl,86.75537046936529,0,65; 100-1.0; 5.0,0.959560960189333
