Cell_architecture,Substrate_stack_sequence,ETL_stack_sequence,ETL_additives_compounds,ETL_deposition_procedure,Perovskite_composition_none_stoichiometry_components_in_excess,Perovskite_additives_compounds,Perovskite_deposition_procedure,DMF_DMSO,Perovskite_deposition_quenching_media,HTL_stack_sequence,HTL_additives_compounds,Backcontact_stack_sequence,Backcontact_thickness_list,Perovskite_deposition_solvents_IPA,Perovskite_deposition_thermal_annealing,prob
pin,SLG | ITO,PCBM-60 | C60 | BCP,Undoped,Spin-coating | Evaporation | Evaporation,Stoichiometric,PMA,Spin-coating,0.7524417934134233,Diethyl ether,PTAA,NPB,AgAl,95.52005388477407,0,60; 100-5.0; 10.0,0.9745784414834437
nip,SLG | FTO,TiO2-c,Zn,Spin-coating,PbI2,PAA,Spin-coating,0.9706586128458718,Diethyl ether,PTAA,O2,AgAl,114.37485070686964,0,100.0-120.0,0.9707129069110587
pin,SLG | ITO,PCBM-60 | LiF,Undoped,Spin-coating | Evaporation,Stoichiometric,Cs,Spin-coating,0.7468336474023718,Diethyl ether,PTAA,NPB,Al,103.19062626944921,0,60; 100-0.5; 5.0,0.969979042975937
pin,SLG | ITO,PCBM-60 | LiF,Undoped,Spin-coating | Evaporation,Stoichiometric,NMA,Spin-coating,0.7521060455611861,Diethyl ether,PTAA,TAPC,AgAl,89.02846973412181,0,60; 100-3.0; 20.0,0.9695837925556973
pin,SLG | ITO,PCBM-60 | LiF,Undoped,Spin-coating | Evaporation,Stoichiometric,PMA,Spin-coating,0.7766009165021215,Diethyl ether,PTAA,NPB,Al,93.3740740480826,0,60; 100-45.0; 50.0,0.96906794134824
nip,SLG | FTO,SnO2-c,SnCl2; MercaptoPropionic acid; Urea,Spin-coating,NH4Cl,DMI,Spin-coating,0.7664135045419849,Diethyl ether,PTAA,Li-TFSI,AgAl,317.4106257058326,0,100.0-50.0,0.9667775780433461
pin,SLG | ITO,PCBM-60 | LiF,PNDI-2T ,Spin-coating | Evaporation,Stoichiometric,MA,Spin-coating,0.8823892775385954,Diethyl ether,PTAA,TAPC,Al,79.10284258311246,0,65-2.0,0.9667745121447076
pin,SLG | ITO,PCBM-60 | C60 | BCP,Undoped,Spin-coating | Evaporation | Evaporation,Stoichiometric,Cs,Spin-coating,0.707541239519633,Diethyl ether,PTAA,NPB,Al,99.49905563813557,0,60.0-45.0,0.9652709191862926
nip,SLG | FTO,TiO2-c,TOPD,Spin-coating | Spin-coating,PbI2,PU,Spin-coating,0.9723065491322276,Diethyl ether,PTAA,O2,AgAl,136.42765649701312,0,100.0-15.0,0.9633387166918057
pin,SLG | ITO,PCBM-60 | LiF,DIO,Spin-coating | Evaporation,Stoichiometric,Cs,Spin-coating,0.8267974429121497,Diethyl ether,PTAA,TAPC,AgAl,77.24434137761597,0,40; 100-3.0; 10.0,0.963193940778577
nip,SLG | FTO,SnO2-c,Undoped,Evaporation,NH4Cl,Rb,Spin-coating,0.7668520527840107,Diethyl ether,PTAA,Li-TFSI; Polystyrene; TBP,Ag,427.4098954763534,0,100.0-30.0,0.9624458252776137
nip,SLG | FTO,SnO2-c,Undoped,Spin-coating,Pb,DPSI,Spin-coating,0.798482531556086,Toluene,PTAA,O2,AgAl,365.7114079605735,0,100.0-240.0,0.9617901775356501
nip,SLG | FTO,TiO2-c,Galliumnitrate hydrate,Spin-coating,PbI2,PAA,Spin-coating,0.9733228174971111,Diethyl ether,PTAA,O2,AgAl,118.635580868105,0,100.0-100.0,0.9615578146056034
nip,SLG | FTO,SnO2-c,Ti3C2,Spin-coating,NH4Cl,DA2PbI4,Spin-coating,0.8777946826601317,Chlorobenzene,PTAA,LAD,AgAl,283.1090121917592,0,65.0; 100.0-2.0; 4.0,0.9615450545277133
pin,SLG | ITO,PCBM-60 | C60 | BCP,Undoped,Spin-coating | Evaporation | Evaporation,Stoichiometric,Diiodooctane,Spin-coating >> CBD,0.7485964809803872,Chlorobenzene,PTAA,NPB,AgAl,95.3562172679273,0,60; 80-2.0; 5.0,0.9612751117658744
nip,SLG | FTO,TiO2-c | PCBM-60,Undoped,Spin-coating | Spin-coating,NH4Cl,E2CA,Spin-coating,0.7433956902087757,Chlorobenzene,PTAA,LAD,AgAl,378.69516041023127,0,100.0-240.0,0.961025492579617
pin,SLG | ITO,PCBM-60 | C60 | BCP,Undoped,Spin-coating | Evaporation | Evaporation,PbI2; PbBr2,Diiodooctane,Spin-coating,0.8975877771368124,Chlorobenzene,PTAA,TAPC,AgAl,72.51598238046945,0,130-30.0,0.9602970378868876
pin,SLG | ITO,PCBM-60 | C60 | BCP,Undoped,Spin-coating | Evaporation | Evaporation,Stoichiometric,NH4SCN,Spin-coating,0.8226245659357564,Chlorobenzene,PTAA,NPB,AgAl,95.54515111260595,0,60; 100-10.0; 10.0,0.9592664442632372
nip,SLG | FTO,SnO2-c,La,Spin-coating,NH4Cl,HATNA,Spin-coating,0.7107154527764239,Diethyl ether,PTAA,Li-TFSI,Ag,404.39792488549506,0,100.0-150.0,0.9591226159667093
nip,SLG | FTO,SnO2-c,SnCl2; MercaptoPropionic acid; Urea,Spin-coating,NH4Cl,PMA,Spin-coating,0.8843990943862974,Diethyl ether,PTAA,Li-TFSI; Polystyrene; TBP,AgAl,164.3216834929452,0,60.0; 100.0-5.0; 10.0,0.9589805258848224
pin,SLG | ITO,PCBM-60 | C60 | BCP,Undoped,Spin-coating | Evaporation | Evaporation,Stoichiometric,SP-3D-COF 1,Spin-coating,0.827428267968069,Chlorobenzene,PTAA,TAPC,AgAl,83.14854375985131,0,60; 100-0.5; 5.0,0.9589500476887443
